Topic,Date,"Registration<br>Link",Location,Recording,Slides,Instructor/<br>Facilitator
"<details><summary>[Introduction to Wulver: Getting Started with HPC]()</summary>This virtual session will provide essential information about the Wulver cluster, how to get an account, and allocation details, accessing installed software.</details>","September 23<br>2:30pm - 3:30pm","-",Online ,-, -,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
"<details><summary>[Introduction to Wulver: Job Submission and Resource Requests]()</summary> This webinar will introduce researchers, scientists, and HPC users to the fundamentals of the SLURM (Simple Linux Utility for Resource Management) workload manager. This virtual session will provide the information on effectively utilizing HPC resources through SLURM. </details>","October 7<br>2:30pm - 3:30pm","-",Online,-,-,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
